population,state
4874747,Alabama
739795,Alaska
7016270,Arizona
3004279,Arkansas
39536653,California
5607154,Colorado
3588184,Connecticut
961939,Delaware
693972,District of Columbia
20984400,Florida
10429379,Georgia
1427538,Hawaii
1716943,Idaho
12802023,Illinois
6666818,Indiana
3145711,Iowa
2913123,Kansas
4454189,Kentucky
4684333,Louisiana
1335907,Maine
6052177,Maryland
6859819,Massachusetts
9962311,Michigan
5576606,Minnesota
2984100,Mississippi
6113532,Missouri
1050493,Montana
1920076,Nebraska
2998039,Nevada
1342795,New Hampshire
9005644,New Jersey
2088070,New Mexico
19849399,New York
10273419,North Carolina
755393,North Dakota
11658609,Ohio
3930864,Oklahoma
4142776,Oregon
12805537,Pennsylvania
1059639,Rhode Island
5024369,South Carolina
869666,South Dakota
6715984,Tennessee
28304596,Texas
3101833,Utah
623657,Vermont
8470020,Virginia
7405743,Washington
1815857,West Virginia
5795483,Wisconsin
579315,Wyoming
3337177,Puerto Rico
